name,hr,ra,dec,mag
Sirius,2491,6.752481,-16.716116,-1.44
Canopus,2326,6.399195,-52.69566,-0.62
Arcturus,5340,14.26103,19.18241,-0.05
Rigil Kentaurus,5459,14.660765,-60.833976,-0.01
Vega,7001,18.61564,38.783692,0.03
Capella,1708,5.27815,45.997991,0.08
Rigel,1713,5.242298,-8.20164,0.18
Procyon,2943,7.655033,5.224993,0.4
Betelgeuse,2061,5.919529,7.407063,0.45
Achernar,472,1.628556,-57.236757,0.45
Hadar,5267,14.063729,-60.373039,0.61
Altair,7557,19.846388,8.868322,0.76
Acrux,4730,12.443311,-63.099092,0.77
Aldebaran,1457,4.598677,16.509301,0.87
,,5.277926,46.000842,0.96
Spica,5056,13.419883,-11.161322,0.98
Antares,6134,16.490128,-26.432002,1.06
Pollux,2990,7.755277,28.026199,1.16
Fomalhaut,8728,22.960838,-29.622236,1.17
Deneb,7924,20.690532,45.280338,1.25
Mimosa,4853,12.795359,-59.688764,1.25
Toliman,5460,14.660346,-60.8383,1.35
Regulus,3982,10.139532,11.967207,1.36
Adhara,2618,6.977097,-28.972084,1.5
Castor,2891,7.576634,31.888276,1.58
Gacrux,4763,12.519429,-57.113212,1.59
Shaula,6527,17.560145,-37.103821,1.62
Bellatrix,1790,5.418851,6.349702,1.64
Elnath,1791,5.438198,28.60745,1.65
Miaplacidus,3685,9.220041,-69.717208,1.67
Alnilam,1903,5.603559,-1.20192,1.69
Alnair,8425,22.137209,-46.960975,1.73
Alnitak,1948,5.679313,-1.942572,1.74
HR3207,3207,8.158876,-47.336588,1.75
Alioth,4905,12.900472,55.959821,1.76
Kaus Australis,6879,18.402868,-34.384616,1.79
Mirfak,1017,3.405378,49.86118,1.79
Dubhe,4301,11.062155,61.751033,1.81
Wezen,2693,7.139857,-26.3932,1.83
Alkaid,5191,13.792354,49.313265,1.85
Sargas,6553,17.62198,-42.997824,1.86
Avior,3307,8.375236,-59.509483,1.86
Menkalinan,2088,5.992149,44.947433,1.9
Atria,6217,16.811077,-69.027715,1.91
Alsephina,3485,8.745059,-54.708821,1.93
Alhena,2421,6.628528,16.399252,1.93
Peacock,7790,20.427459,-56.73509,1.94
Polaris,424,2.52975,89.264109,1.97
Mirzam,2294,6.378329,-17.955918,1.98
Alphard,3748,9.45979,-8.658603,1.99
Hamal,617,2.119555,23.462423,2.01
Algieba,4057,10.332873,19.841489,2.01
Diphda,188,0.72649,-17.986605,2.04
Nunki,7121,18.92109,-26.296722,2.05
Menkent,5288,14.111395,-36.369954,2.06
Kochab,5563,14.845105,74.155505,2.07
Mirach,337,1.162194,35.620558,2.07
Saiph,2004,5.795941,-9.669605,2.07
Tiaki,8636,22.711115,-46.884577,2.07
Alpheratz,15,0.139791,29.090432,2.07
Rasalhague,6556,17.582241,12.560035,2.08
Algol,936,3.136148,40.955648,2.09
Almach,603,2.064984,42.329725,2.1
Denebola,4534,11.817663,14.57206,2.14
Cih,264,0.945143,60.71674,2.15
HR4819,4819,12.691971,-48.959888,2.2
Aspidiske,3699,9.284838,-59.275229,2.21
Naos,3165,8.059737,-40.003148,2.21
Alphecca,5793,15.578128,26.714693,2.22
Suhail,3634,9.133268,-43.432589,2.23
Mizar,5054,13.398747,54.925362,2.23
Sadr,7796,20.370473,40.256679,2.23
Eltanin,6705,17.943437,51.488895,2.24
Schedar,168,0.675116,56.537331,2.24
Mintaka,1852,5.533445,-0.299092,2.25
Caph,21,0.152887,59.14978,2.28
Dschubba,5953,16.005557,-22.62171,2.29
Larawag,6241,16.83608,-34.293232,2.29
HR5132,5132,13.664796,-53.466394,2.29
Uridim,5469,14.698823,-47.3882,2.3
HR5440,5440,14.591786,-42.157824,2.33
Merak,4295,11.030677,56.382427,2.34
Izar,5505,14.749784,27.074222,2.35
Enif,8308,21.736433,9.875011,2.38
HR6580,6580,17.708132,-39.029983,2.39
Ankaa,99,0.438056,-42.305981,2.4
Phecda,4554,11.897168,53.69476,2.41
Sabik,6378,17.172968,-15.72491,2.43
Scheat,8775,23.062901,28.082789,2.44
Alderamin,8162,21.30963,62.585573,2.45
Aludra,2827,7.401584,-29.303104,2.45
Markeb,3734,9.368562,-55.010668,2.47
Aljanah,7949,20.770178,33.970256,2.48
Markab,8781,23.079348,15.205264,2.49
Menkar,911,3.037992,4.089734,2.54
HR6175,6175,16.619316,-10.56709,2.54
Leepwal,5231,13.925667,-47.288375,2.55
Zosma,4357,11.235138,20.523717,2.56
Acrab,5984,16.09062,-19.805453,2.56
HR4621,4621,12.13931,-50.722425,2.58
Gienah,4662,12.263437,-17.541929,2.58
Arneb,1865,5.545504,-17.822289,2.58
Ascella,7194,19.043532,-29.880105,2.6
Zubeneschamali,5685,15.283449,-9.382917,2.61
Unukalhai,5854,15.737798,6.425627,2.63
Sheratan,553,1.910668,20.808035,2.64
Mahasim,2095,5.995351,37.212585,2.65
Phact,1956,5.660817,-34.074108,2.65
Kraz,4786,12.573121,-23.396759,2.65
Ruchbah,403,1.430216,60.235283,2.66
Muphrid,5235,13.911411,18.397717,2.68
HR5571,5571,14.975537,-43.13396,2.68
HR4798,4798,12.619739,-69.135564,2.69
Hassaleh,1577,4.949894,33.16609,2.69
HR4216,4216,10.779488,-49.420255,2.69
Lesath,6508,17.512732,-37.295811,2.7
HR2773,2773,7.285711,-37.09747,2.71
Kaus Media,6859,18.3499,-29.828103,2.72
Tarazed,7525,19.770994,10.613261,2.72
Athebyne,6132,16.39986,61.514213,2.73
Yed Prior,6056,16.239094,-3.694323,2.73
Porrima,4825,12.694345,-1.449375,2.74
HR4199,4199,10.715949,-64.39445,2.74
Zubenelgenubi,5531,14.847977,-16.041778,2.75
Kulou,5028,13.343296,-36.712295,2.75
Hatysa,1899,5.590551,-5.909901,2.75
Cebalrai,6603,17.724543,4.567303,2.76
Rasalgethi,6406,17.244127,14.390333,2.78
Kornephoros,6148,16.503668,21.489613,2.78
Cursa,1666,5.130829,-5.086446,2.78
Rastaban,6536,17.507213,52.301387,2.79
Imai,4656,12.252427,-58.748928,2.79
HR5776,5776,15.585681,-41.166757,2.8
HR6212,6212,16.688113,31.602726,2.81
Nihal,1829,5.470756,-20.759441,2.81
Paikauhale,6165,16.598043,-28.216016,2.82
Kaus Borealis,6913,18.466179,-25.4217,2.82
HR98,98,0.427916,-77.254247,2.82
Algenib,39,0.220598,15.183596,2.83
HR5897,5897,15.919083,-63.430727,2.83
Tureis,3185,8.125737,-24.304324,2.83
HR6510,6510,17.530695,-49.876145,2.84
HR1203,1203,3.9022,31.883635,2.84
HR6461,6461,17.421665,-55.529884,2.84
Deneb Algedi,8322,21.784011,-16.127286,2.85
Vindemiatrix,4932,13.036278,10.95915,2.85
Alcyone,1165,3.79141,24.105137,2.85
Castor B,2890,7.576827,31.89052,2.85
HR591,591,1.979451,-61.569859,2.86
Fawaris,7528,19.749574,45.13081,2.86
HR5671,5671,15.315181,-68.679545,2.87
Lang-Exster,8502,22.308371,-60.259587,2.87
Tejat,2286,6.382673,22.513586,2.87
Acamar,897,2.971023,-40.304672,2.88
Albaldah,7264,19.162731,-21.023615,2.88
Fang,5944,15.980865,-26.114105,2.89
Cor Caroli,4915,12.933807,38.31838,2.89
Gomeisa,2845,7.452512,8.289315,2.89
Alniyat,6084,16.353143,-25.592796,2.9
Sadalsuud,8232,21.525982,-5.571172,2.9
HR1220,1220,3.96423,40.010215,2.9
HR915,915,3.079942,53.50644,2.91
HR3890,3890,9.785036,-65.072007,2.92
Matar,8650,22.716704,30.221245,2.93
Algorab,4757,12.497739,-16.515432,2.94
HR2553,2553,6.832266,-50.61456,2.94
